"","statn","inc_cnt","out_cnt","tot_cnt","inc_perc","out_perc","lng","lat"
"96",99,10908,12284,23192,47.03,52.97,-71.057629,42.35892
"97",100,996,1106,2102,47.38,52.62,-71.084198,42.328654
"98",101,494,454,948,52.11,47.89,-71.100694,42.345733
"99",102,6888,6890,13778,49.99,50.01,-71.073089,42.336437
"100",103,15383,15452,30835,49.89,50.11,-71.082383,42.348762
"101",104,1712,1497,3209,53.35,46.65,-71.057044,42.330716
"102",105,562,643,1205,46.64,53.36,-71.075354,42.325333
"103",106,764,773,1537,49.71,50.29,-71.045859,42.335693
"104",107,683,475,1158,58.98,41.02,-71.03877,42.335741
"105",108,75,92,167,44.91,55.09,-71.06198,42.320561
"106",109,42,49,91,46.15,53.85,-71.065421,42.317225
"107",110,1597,1355,2952,54.1,45.9,-71.145442,42.356975
"108",111,12371,12491,24862,49.76,50.24,-71.059914,42.366222
"109",112,10730,11188,21918,48.96,51.04,-71.058087,42.355402
"110",113,21626,22630,44256,48.87,51.13,-71.070884,42.36069
"111",114,19119,17363,36482,52.41,47.59,-71.060515,42.365942
"112",115,4223,4243,8466,49.88,50.12,-71.048927,42.378338
"113",116,1453,1571,3024,48.05,51.95,-71.069849,42.356052
"114",117,818,818,1636,50,50,-71.052984,42.358508
"115",118,260,234,494,52.63,47.37,-71.056605,42.377022
"116",119,332,416,748,44.39,55.61,-71.07655,42.350413
"117",120,335,306,641,52.26,47.74,-71.115645,42.309467
"118",121,322,326,648,49.69,50.31,-71.114175,42.31309
"119",122,466,488,954,48.85,51.15,-71.110833,42.320998
"120",123,120,161,281,42.7,57.3,-71.098634,42.315692
"121",124,341,310,651,52.38,47.62,-71.107341,42.310579
"122",125,193,202,395,48.86,51.14,-71.100164,42.322913
"123",126,2925,3393,6318,46.3,53.7,-71.13493,42.339335
"124",127,2849,3173,6022,47.31,52.69,-71.128374,42.346563
"125",128,15993,17514,33507,47.73,52.27,-71.08497,42.362457
"126",129,4602,4783,9385,49.04,50.96,-71.118201,42.369832
"127",130,5231,5304,10535,49.65,50.35,-71.114025,42.376369
"128",131,8097,7951,16048,50.45,49.55,-71.113687,42.356954
"129",132,4541,4785,9326,48.69,51.31,-71.116865,42.377945
"130",133,4528,4808,9336,48.5,51.5,-71.125107,42.380287
"131",134,2090,1955,4045,51.67,48.33,-71.130516,42.397828
"132",135,3595,4198,7793,46.13,53.87,-71.104412,42.370803
"133",136,1890,2021,3911,48.33,51.67,-71.086388,42.366095
"134",137,6350,5815,12165,52.2,47.8,-71.119084,42.387995
"135",138,3549,3694,7243,49,51,-71.113341,42.385582
"136",139,9310,8003,17313,53.77,46.23,-71.123024,42.396969
"137",140,1608,1539,3147,51.1,48.9,-71.112708,42.400146
"138",141,1539,1775,3314,46.44,53.56,-71.116772,42.400877
"139",142,1021,1144,2165,47.16,52.84,-71.123413,42.40449
"140",143,859,1088,1947,44.12,55.88,-71.10942,42.39082
"141",144,1390,1764,3154,44.07,55.93,-71.126908,42.402763
"142",145,255,221,476,53.57,46.43,-71.120406,42.394002
